,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?
617,Jason Emert,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,,,2.3,No,,No,,,,,,,No,,,No,,
618,Jimmy Matlock,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,,,36.1,No,,No,,,,,,,Yes,,,No,,
619,Tim Burchett,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Advanced,,On the Ballot,48.2,Yes,,No,,,,,,,No,,,No,,
620,Vito Sagliano,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,,,0.8,No,,No,,,,,,,No,,,No,,
621,Hank Hamblin,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,,,0.9,No,,No,,,,,,,No,,,No,,
622,Ashley Nickloes,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,,,11.0,No,,No,,,,,,,No,,,Yes,,
623,C. David Stansberry,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,,,0.7,No,,No,,,,,,,No,,,No,,
624,Glen Dean,TN,U.S. House Tennessee District 5,Representative,Regular,8/2/18,Lost,,,44.1,No,,No,,,,,,,,,,,,
625,Jody Ball,TN,U.S. House Tennessee District 5,Representative,Regular,8/2/18,Advanced,,On the Ballot,55.9,Yes,,No,,,,,,,,,,,,
626,Judd Matheny,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,,,15.9,No,,No,,,,No,,,,Yes,,,,
627,Robert Ewing Corlew,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,,,31.1,No,,No,,,,Yes,,,,No,,,,
628,John Rose,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Advanced,,On the Ballot,41.3,Yes,,No,,,,No,,,,No,,,,
629,Christopher Monday,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,,,2.8,No,,No,,,,No,,,,No,,,,
630,"LaVern ""U-Turn LaVern"" Vivio",TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,,,8.8,No,,No,,,,No,,,,No,,,,
631,Mark Green,TN,U.S. House Tennessee District 7,Representative,Regular,8/2/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,Yes,,Yes,,,,
632,Charlotte Bergmann,TN,U.S. House Tennessee District 9,Representative,Regular,8/2/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
633,Marsha Blackburn,TN,U.S. Senate Tennessee,Senator,Regular,8/2/18,Advanced,,On the Ballot,84.5,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,
634,Aaron Pettigrew,TN,U.S. Senate Tennessee,Senator,Regular,8/2/18,Lost,,,15.5,No,,No,No,No,,,No,No,No,,,,,
635,Tim Westley,TX,U.S. House Texas District 15,Representative,Regular,3/6/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
636,Rick Seeberger,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Advanced,,On the Ballot,69.35,Yes,,No,,,,,,,,,,,,
637,Alia Garcia-Ureste,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,,,30.65,No,,No,,,,,,,,,,,,
638,Ava Pate,TX,U.S. House Texas District 18,Representative,Regular,3/6/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
639,Kevin Roberts,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Advanced,Lost,,33.03,No,,No,,,Yes,,,,,,No,,,
640,Daniel Crenshaw,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,27.42,Yes,,No,,,No,,,,,,Yes,,,
641,David Balat,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,,,0.75,No,,No,,,No,,No,,,,No,,,
642,Malcolm Whittaker,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,,,0.7,No,,No,,,No,,No,,,,No,,,
643,Rick Walker,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,,,7.18,No,,No,,,No,,No,,,,No,,,
644,Kathaleen Wall,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,,,27.08,No,,No,,,No,,Yes,,,,No,,,
645,Justin Lurie,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,,,0.92,No,,No,,,No,,No,,,,No,,,
646,Jon Spiers,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,,,0.9,No,,No,,,No,,No,,,,No,,,
647,Jonny Havens,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,,,2.02,No,,No,,,No,,No,,,,No,,,
648,Matt McCall,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Advanced,Lost,,16.93,No,,No,,,,No,,No,,No,No,,,No
649,Chip Roy,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,27.06,Yes,,No,,,,Yes,,Yes,,Yes,Yes,,,No
650,Francisco Canseco,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,3.47,No,,No,,,,No,,No,,No,No,,,No
651,Jason Isaac,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,10.04,No,,No,,,,No,,No,,No,No,,,No
652,Susan Narvaiz,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,3.79,No,,No,,,,No,,No,,No,No,,,No
653,Eric Burkhart,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,1.01,No,,No,,,,No,,No,,No,No,,,No
654,Autry Pruitt,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,0.63,No,,No,,,,No,,No,,No,No,,,No
655,Robert Stovall,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,4.76,No,,No,,,,No,,No,,No,No,,,No
656,Ivan Andarza,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,0.13,No,,No,,,,No,,No,,No,No,,,No
657,Ryan Krause,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,3.2,No,,No,,,,No,,No,,No,No,,,No
658,Jenifer Sarver,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,5.61,No,,No,,,,No,,No,,No,No,,,No
659,Mauro Garza,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,0.92,No,,No,,,,No,,No,,No,No,,,No
660,Foster Hagen,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,0.55,No,,No,,,,No,,No,,No,No,,,No
661,William Negley,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,15.55,No,,No,,,,No,,No,,No,No,,,Yes
662,Al Poteet,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,1.81,No,,No,,,,No,,No,,No,No,,,No
663,Samuel Temple,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,1.42,No,,No,,,,No,,No,,No,No,,,No
664,Peggy Wardlaw,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,1.79,No,,No,,,,No,,No,,No,No,,,No
665,Anthony White,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,,1.33,No,,No,,,,No,,No,,No,No,,,No
666,Michael Cloud,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,33.83,Yes,,No,,,,,,Yes,No,Yes,Yes,,,
667,Bech Bruun,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,Lost,,36.09,No,,No,,,,,,No,Yes,No,No,,,
668,Chris Mapp,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,,,12.14,No,,No,,,,,,No,No,No,No,,,
669,John Grunwald,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,,,6.86,No,,No,,,,,,No,No,No,No,,,
670,Eddie Gassman,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,,,2.8,No,,No,,,,,,No,No,No,No,,,
671,Jerry Hall,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,,,8.27,No,,No,,,,,,No,No,No,No,,,
672,Phillip Aronoff,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,38.6,Yes,,No,,,,,,,,,,,,
673,Carmen Maria Montiel,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Advanced,Lost,,23.58,No,,No,,,,,,,,,,,,
674,Robert Schafranek,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,,,16.73,No,,No,,,,,,,,,,,,
675,Jaimy Blanco,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,,,21.08,No,,No,,,,,,,,,,,,
676,Van Taylor,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Advanced,,On the Ballot,84.68,Yes,,No,,,,,,Yes,,,,,,
677,David Niederkorn,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Lost,,,9.39,No,,No,,,,,,No,,,,,,
678,Alex Donkervoet,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Lost,,,5.93,No,,No,,,,,,No,,,,,,
679,Willie Billups,TX,U.S. House Texas District 33,Representative,Regular,3/6/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
680,Rey Gonzalez,TX,U.S. House Texas District 34,Representative,Regular,3/6/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
681,David Smalling,TX,U.S. House Texas District 35,Representative,Regular,3/6/18,Advanced,,On the Ballot,53.3,Yes,,No,,,,,,,,,,,,
682,SK Alexander,TX,U.S. House Texas District 35,Representative,Regular,3/6/18,Lost,,,46.7,No,,No,,,,,,,,,,,,
683,Lance Gooden,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,29.97,Yes,,No,,,,No,No,No,No,,No,,,
684,Bunni Pounds,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Advanced,Lost,,21.95,No,,No,,,,Yes,Yes,Yes,Yes,,Yes,,,
685,Charles Lingerfelt,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,,,1.75,No,,No,,,,No,No,No,No,,No,,,
686,Kenneth Sheets,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,,,11.99,No,,No,,,,No,No,No,No,,No,,,
687,Sam Deen,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,,,17.16,No,,No,,,,No,No,No,No,,No,,,
688,Danny Campbell,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,,,3.02,No,,No,,,,No,No,No,No,,No,,,
689,David Williams,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,,,2.73,No,,No,,,,No,No,No,No,,No,,,
690,Jason Wright,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,,,11.42,No,,No,,,,No,No,No,No,,No,,,
691,Jake Ellzey,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Advanced,Lost,,21.76,No,,No,,,,No,,No,,,No,,,
692,Ronald Wright,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,45.15,Yes,,No,,,,Yes,,Yes,,,Yes,,,
693,Ken Cope,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,,,7.7,No,,No,,,,No,,No,,,No,,,
694,Deborah Gagliardi,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,,,3.65,No,,No,,,,No,,No,,,No,,,
695,Shawn Dandridge,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,,,1.13,No,,No,,,,No,,No,,,No,,,
696,Mark Mitchell,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,,,4.68,No,,No,,,,No,,No,,,No,,,
697,Troy Ratterree,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,,,4.04,No,,No,,,,No,,No,,,No,,,
698,Mel Hassell,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,,,0.58,No,,No,,,,No,,No,,,No,,,
699,Kevin Harrison,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,,,3.85,No,,No,,,,No,,No,,,No,,,
700,Thomas Dillingham,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,,,1.18,No,,No,,,,No,,No,,,No,,,
701,Shannon Dubberly,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,,,6.28,No,,No,,,,No,,No,,,No,,,
702,Mitt Romney,UT,U.S. Senate Utah,Senator,Regular,6/26/18,Advanced,,On the Ballot,71.27,Yes,,Yes,,,,,,,,,,,,
703,Mike Kennedy,UT,U.S. Senate Utah,Senator,Regular,6/26/18,Lost,,,28.73,No,,No,,,,,,,,,,,,
704,Brooke Paige,VT,U.S. House Vermont At-large District,Representative,Regular,8/14/18,Advanced,,On the Ballot,63.3,Yes,,No,,,,,,,,,,,,
705,Anya Tynio,VT,U.S. House Vermont At-large District,Representative,Regular,8/14/18,Lost,,,36.7,No,,No,,,,,,,,,,,,
706,Roque De La Fuente,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,,,4.2,No,,No,,,,,,,,,,,,
707,Brooke Paige,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Advanced,,On the Ballot,39.6,Yes,,No,,,,,,,,,,,,
708,Jasdeep Pannu,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,,,18.3,No,,No,,,,,,,,,,,,
709,Lawrence Zupan,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,,,4.2,No,,No,,,,,,,,,,,,
710,Jeff Dove,VA,U.S. House Virginia District 11,Representative,Regular,6/12/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
711,Ryan McAdams,VA,U.S. House Virginia District 4,Representative,Regular,6/12/18,Advanced,,On the Ballot,72.57,Yes,,No,,,,,,,,,,,,
712,Shion Fenty,VA,U.S. House Virginia District 4,Representative,Regular,6/12/18,Lost,,,27.43,No,,No,,,,,,,,,,,,
713,Denver Riggleman,VA,U.S. House Virginia District 5,Representative,Regular,6/12/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,Yes,,,,,,
714,Ben Cline,VA,U.S. House Virginia District 6,Representative,Regular,6/12/18,Advanced,,On the Ballot,100.0,Yes,,No,,,Yes,,,,,,,,,
715,Thomas Oh,VA,U.S. House Virginia District 8,Representative,Regular,6/12/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
716,Corey Stewart,VA,U.S. Senate Virginia,Senator,Regular,6/12/18,Advanced,,On the Ballot,44.87,Yes,,No,,,,,,,,,,,,
717,E.W. Jackson,VA,U.S. Senate Virginia,Senator,Regular,6/12/18,Lost,,,11.99,No,,No,,,,,,,,,,,,
718,Nick Freitas,VA,U.S. Senate Virginia,Senator,Regular,6/12/18,Lost,,,43.14,No,,No,,,,,,,,,,,,
719,Jeffrey Beeler,WA,U.S. House Washington District 1,Representative,Regular,8/7/18,Advanced,,On the Ballot,69.19,Yes,,No,,,,,,,,,,,,
720,Scott Stafne,WA,U.S. House Washington District 1,Representative,Regular,8/7/18,Lost,,,30.81,No,,No,,,,,,,,,,,,
721,Joseph Brumbles,WA,U.S. House Washington District 10,Representative,Regular,8/7/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
722,Douglas Dightman,WA,U.S. House Washington District 6,Representative,Regular,8/7/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
723,Craig Keller,WA,U.S. House Washington District 7,Representative,Regular,8/7/18,Advanced,,On the Ballot,100.0,Yes,,No,,,,,,,,,,,,
724,Dino Rossi,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,Advanced,,On the Ballot,92.09,Yes,Yes,No,,,,,,Yes,Yes,,Yes,Yes,,
725,Jack Hughes-Hageman,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,Lost,,,5.34,No,No,No,,,,,,No,No,,No,No,,
726,Gordon Allen Pross,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,Lost,,,2.57,No,No,No,,,,,,No,No,,No,No,,
727,Doug Basler,WA,U.S. House Washington District 9,Representative, ,8/7/18,Lost,,,100.0,No,,No,,,,,,,,,,,,
728,Joey Gibson,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,,,6.37,No,,No,,,,No,,,,,,,,
729,Matthew Heines,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,,,1.38,No,,No,,,,No,,,,,,,,
730,Roque De La Fuente,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,,,0.83,No,,No,,,,No,,,,,,,,
731,Dave Bryant,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,,,5.54,No,,No,,,,No,,,,,,,,
732,Art Coday,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,,,4.98,No,,No,,,,Yes,,,,,,,,
733,GoodSpaceGuy,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,,,1.11,No,,No,,,,No,,,,,,,,
734,Matt Hawkins,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,,,2.21,No,,No,,,,Yes,,,,,,,,
735,Susan Hutchison,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Advanced,,On the Ballot,67.31,Yes,,No,,,,No,,,,,,,,
736,John Orlinski,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,,,1.11,No,,No,,,,No,,,,,,,,
737,Tim Owen,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,,,3.88,No,,No,,,,Yes,,,,,,,,
738,RC Smith,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,,,0.28,No,,No,,,,No,,,,,,,,
739,Glen Stockwell,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,,,1.94,No,,No,,,,No,,,,,,,,
740,Keith Swank,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,,,6.4,No,,No,,,,Yes,,,,,,,,
741,Carol Miller,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Advanced,,On the Ballot,23.81,Yes,,No,,,,,Yes,,,,,No,,
742,Marty Gearheart,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,,18.19,No,,No,,,,,No,,,,,No,,
743,Rick Snuffer,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,,10.64,No,,No,,,,,No,,,,,No,,
744,Rupie Phillips,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,,19.53,No,,No,,,,,No,,,,,No,,
745,Ayne Amjad,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,,7.46,No,,No,,,,,No,,,,,No,,
746,Conrad Lucas,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,,18.07,No,,No,,,,,No,,,,,Yes,,
747,Philip Payton,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,,2.3,No,,No,,,,,No,,,,,No,,
748,Patrick Morrisey,WV,U.S. Senate West Virginia,Senator,Regular,5/8/18,Advanced,,On the Ballot,34.9,Yes,,Yes,Yes,Yes,,,,,Yes,,Yes,No,,
749,Evan Jenkins,WV,U.S. Senate West Virginia,Senator,Regular,5/8/18,Lost,,,29.21,No,,Yes,No,No,,,,,No,,No,Yes,,
750,Bo Copley,WV,U.S. Senate West Virginia,Senator,Regular,5/8/18,Lost,,,3.09,No,,No,No,No,,,,,No,,No,No,,
751,Jack Newbrough,WV,U.S. Senate West Virginia,Senator,Regular,5/8/18,Lost,,,2.99,No,,No,No,No,,,,,No,,No,No,,
752,Don Blankenship,WV,U.S. Senate West Virginia,Senator,Regular,5/8/18,Lost,,,19.97,No,,No,No,No,,,,,No,,No,No,,
753,Tom Willis,WV,U.S. Senate West Virginia,Senator,Regular,5/8/18,Lost,,,9.84,No,,No,No,No,,,,,No,,No,No,,
754,Bryan Steil,WI,U.S. House Wisconsin District 1,Representative,Regular,8/14/18,Advanced,,On the Ballot,51.6,Yes,Yes,No,,,,No,,,,,,,,
755,Paul Nehlen,WI,U.S. House Wisconsin District 1,Representative,Regular,8/14/18,Lost,,,11.1,No,No,No,,,,No,,,,,,,,
756,Nick Polce,WI,U.S. House Wisconsin District 1,Representative,Regular,8/14/18,Lost,,,14.9,No,No,No,,,,No,,,,,,,,
757,Jeremy Ryan,WI,U.S. House Wisconsin District 1,Representative,Regular,8/14/18,Lost,,,10.4,No,No,No,,,,No,,,,,,,,
758,Kevin Steen,WI,U.S. House Wisconsin District 1,Representative,Regular,8/14/18,Lost,,,10.5,No,No,No,,,,Yes,,,,,,,,
759,Brad Boivin,WI,U.S. House Wisconsin District 1,Representative,Regular,8/14/18,Lost,,,1.5,No,No,No,,,,No,,,,,,,,
760,Steve Toft,WI,U.S. House Wisconsin District 3,Representative,Regular,8/14/18,Advanced,,On the Ballot,100.0,Yes,Yes,No,,,,Yes,,,,,,,,
761,Tim Rogers,WI,U.S. House Wisconsin District 4,Representative,Regular,8/14/18,Advanced,,On the Ballot,55.6,Yes,,No,,,,No,,,,,,,,
762,Cindy Werner,WI,U.S. House Wisconsin District 4,Representative,Regular,8/14/18,Lost,,,44.4,No,,No,,,,Yes,,,,,,,,
763,Leah Vukmir,WI,U.S. Senate Wisconsin,Senator,Regular,8/14/18,Advanced,,On the Ballot,49.0,Yes,,No,No,No,Yes,Yes,,No,,,,,,
764,Kevin Nicholson,WI,U.S. Senate Wisconsin,Senator,Regular,8/14/18,Lost,,,42.9,No,,No,Yes,Yes,No,Yes,,Yes,,,,,,
765,Griffin Jones,WI,U.S. Senate Wisconsin,Senator,Regular,8/14/18,Lost,,,2.0,No,,No,No,No,No,No,,No,,,,,,
766,Charles Barman,WI,U.S. Senate Wisconsin,Senator,Regular,8/14/18,Lost,,,1.8,No,,No,No,No,No,No,,No,,,,,,
767,George Lucia,WI,U.S. Senate Wisconsin,Senator,Regular,8/14/18,Lost,,,4.2,No,,No,No,No,No,No,,No,,,,,,
768,Mark Gordon,WY,Governor of Wyoming,Governor,Regular,8/21/18,Advanced,,On the Ballot,33.4,Yes,,No,,,,No,,,,,,,,
769,Bill Dahlin,WY,Governor of Wyoming,Governor,Regular,8/21/18,Lost,,,1.5,No,,No,,,,No,,,,,,,,
770,Harriet Hageman,WY,Governor of Wyoming,Governor,Regular,8/21/18,Lost,,,21.5,No,,No,,,,Yes,,,,,,,,
771,Sam Galeotos,WY,Governor of Wyoming,Governor,Regular,8/21/18,Lost,,,12.5,No,,No,,,,Yes,,,,,,,,
772,Foster Friess,WY,Governor of Wyoming,Governor,Regular,8/21/18,Lost,,,25.6,No,,Yes,,,,Yes,,,,,,,,
773,Taylor Haynes,WY,Governor of Wyoming,Governor,Regular,8/21/18,Lost,,,5.6,No,,No,,,,Yes,,,,,,,,
